time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-07T16:03:41.200Z,13.774,-89.175,178.74,4.4,mb,,76,0.102,0.7,us,us2000c1ma,2018-02-28T02:32:31.040Z,3km S of Apopa  El Salvador,earthquake,7.3,5,0.091,35,reviewed,us,us
2017-11-27T02:56:58.880Z,13.0005,-88.7827,66.91,4.2,mb,,171,0.81,1.35,us,us2000bupw,2018-02-20T09:06:04.040Z,40km SW of Puerto El Triunfo  El Salvador,earthquake,7.7,8.4,0.058,82,reviewed,us,us
2017-11-13T10:01:27.200Z,13.0549,-88.6711,82.52,4.6,mb,,137,0.831,1.08,us,us2000bmjs,2018-02-06T02:45:31.040Z,28km SSW of Puerto El Triunfo  El Salvador,earthquake,7.4,8.1,0.034,255,reviewed,us,us
2017-11-11T09:27:11.830Z,13.1012,-89.0971,52.38,4.1,mb,,153,0.596,0.84,us,us2000blxy,2018-01-31T03:04:48.040Z,44km S of El Rosario  El Salvador,earthquake,6.8,12.5,0.105,25,reviewed,us,us
2017-10-26T04:01:31.480Z,13.6987,-89.2497,10,2.9,ml,,226,0.021,0.46,us,us1000ax8w,2018-01-17T21:50:34.040Z,2km NNW of Antiguo Cuscatlan  El Salvador,earthquake,5.4,2,0.115,10,reviewed,us,us
2017-09-24T00:29:06.340Z,13.0273,-88.7587,65.76,4.4,mb,,171,0.8,0.8,us,us2000atre,2017-12-22T21:56:19.040Z,36km SW of Puerto El Triunfo  El Salvador,earthquake,7.3,7.3,0.069,60,reviewed,us,us
2017-09-17T05:56:49.680Z,14.3944,-88.5593,10,4.3,mb,,102,0.775,0.56,us,us2000apf5,2017-12-19T01:54:01.040Z,20km NNW of Erandique  Honduras,earthquake,3.8,2,0.265,4,reviewed,us,us
2017-09-06T13:53:08.730Z,13.1897,-89.4347,45.9,4.1,mb,,168,0.532,0.79,us,us2000arps,2017-12-07T20:00:17.040Z,35km SSW of La Libertad  El Salvador,earthquake,7.2,5.4,0.197,7,reviewed,us,us
2017-07-26T02:37:27.250Z,13.2193,-87.7501,202.07,4.7,mb,,132,0.858,1.04,us,us2000a16h,2017-10-14T00:19:40.040Z,13km SW of Amapala  Honduras,earthquake,8.1,7.9,0.044,156,reviewed,us,us
2017-04-23T15:51:30.790Z,13.6757,-89.2174,10,3.3,ml,,175,0.017,0.54,us,us10008k4n,2017-07-21T02:32:02.040Z,2km E of Antiguo Cuscatlan  El Salvador,earthquake,6.1,2,0.088,17,reviewed,us,us
2017-04-10T23:53:58.630Z,13.7664,-89.1547,10,4.8,mb,,64,0.108,0.83,us,us10008ge2,2017-07-05T18:09:55.040Z,3km N of Soyapango  El Salvador,earthquake,6,1.9,0.03,351,reviewed,us,us
2017-04-10T23:52:59.050Z,13.7626,-89.2076,10,4.2,mb,,91,0.078,1.08,us,us10008im7,2017-07-05T18:09:55.040Z,1km N of Ayutuxtepeque  El Salvador,earthquake,5.4,2,0.128,17,reviewed,us,us
